Gofukuji - Kamishiro combined
Zenkoji
Hakushu - Chino combined
Shimotsuburai - Ichinose combined
Fuefuki
Kirigamine
Ogurogawa
Ina
Narai
Togakushiyama
Furumi
Jonendake
Ogiyama
