Alpine combined
Hope  combined
Wairarapa combined
Jordan Kekerengu Needles combined
Wellington Hutt Valley combined
Awatere Vernon combined
Awatere Southwest
Clarence combined
Elliott
Marlborough Slope 10
Marlborough Slope 9
Waimea combined
Whangamoa
Hanmer
Hope Hanmer NW
Opouawe - Uruti
BooBoo
Kakapo
Wellington Tararua combined
Palliser - Kaiwhata
Hope Taramakau
Porters Pass
Campbell Bank
Chancet
Pahaua combined
Te Rapa combined
Wharekauhau
Browning Pass
Conway Trough East
Fidget
AmberBlyth
Awatere Northeast 2
Cloudy combined
Hawkswood
Ohariu combined
Papatea
Aotea - Evans Bay
Hundalee
Pukerua - Shepherds Gully combined
Fisherman combined
Honeycomb
Marlborough Slope 2
Poulter
Upper Slope
Leonard Mound
Okupe 1
Otaki Forks 1
Torlesse
Mt Culverden
Dry River - Huangarua 1
Dry River - Huangarua combined
Kaikoura - Mangamaunu
Akatarawa
Hurunui Peak
Starvation - Ashley
Lees Valley
Esk North
Knowles Top
Barefell
Fowlers
Marlborough Slope 4
Pancake
Virginia
Hororata
Kaiwara South
OmihiLwrHuru
Balmoral
Kaiwara North
Otaheke South
Doctors
Leithfield - NCVI - NCVII
The Humps
Boby Stream
Lowry
Marlborough Slope 11
Marlborough Slope 3
Motunau
Needles East 2
North Canterbury Shelf 11
Wharanui
Mt Lawry
Conway Trough West
Pegasus Bay
Point Gibson
Bidwill
Big Ben
Cheeseman
Greendale
High Peak - Sheffield
Kowai - View Hill
London Hill
Moonshine
Otaraia
Shepherds Gully - Mana
Leader Central
Leader North
Leader South
Alexander
Esk South
Mt Arden
Springbank
StoneJug
North Canterbury Shelf 2
Waikuku
CenPeg1n2
Martinborough
North Canterbury Shelf 4
Whitemans Valley
Sailor
Kowhai
Offshore Splay Thrust
Upper Kowhai - Manakau
