Alpine Caswell combined
Alpine Resolution - combined
Alpine George - Wairau combined
Hope combined
Hanmer
Hope Hanmer NW
Jordan - Kekerengu - Needles combined
Puysegur Ridge
Kelly
Wairarapa Needles combined
Snares
BooBoo
Wellington Hutt Valley combined
Kakapo
Ariel Bank
Ariel Bank 2
Wellington - Whakatane combined
Awatere - Vernon combined
Gable End North
Awatere Southwest
Awatere Northeast 2
Alfredton combined
Palliser - Kaiwhata
Lachlan 3
Clarence Northeast combined
Clarence Southwest combined
Maleme
Volkner 4
Mataikona
Patoka - Rangiora
Riversdale
Riversdale North
Uruti Basin
Gable End South
Otara East 1
Porters Pass
Raurimu South
Waewaepa combined
Tuakana 7
Edgecumbe - White Island combined
Central Wedge 4 - South Wedge 411
Chancet - Campbell Bank combined
Houtunui
Kairakau North
Kairakau combined
Otara East 2
Pahaua - Kekerengu Bank combined
Ruatoria South 3
Ruatoria South 4
South Wedge 2
South Wedge 3-6-10
South Wedge 5
Te Rapa combined
Tuakana 6
Waihi West
Te Arawa 2
Ohena 2
Te Arawa 1
Tuatoru 1
Tuatoru 2
Waihi South
Calypso 2
Whakaari 4
Lachlan 1 & 2
Madden Banks
Te Ikaarongamai
Wharekauhau
Carterton
Pakarae
EarthquakeFlat - Tumunui
Poutu
Poverty Bay
Volkner 3
Waiotahi combined
Ngatoro South 2
Otara West 2
Rangitaiki 1
Ohena 3
Braemar
Browning Pass
Central Balleny
Conway Trough East
Fidget
Motu o Kura East
Ohena 4
Oruawharo - Mangatoro
Ostler North
Ostler South
Otara West 1
Otara West 3
Tauranga Trough East 2
Te Arawa 3
Uruti Ridge 2
Waiotahi combined
Awanui
Waipukurau - Poukawa
West Balleny
White Island 2
Ngatoro South 5
Tauranga Trough West 2
Whangamata West
AmberBlyth
Kaiapo
Matata
Ohiwa 1
Orakeikorako
Otakiri
Paeroa
Puketerata combined
Rangitaiki 2
Ariel East
Cloudy combined
Hawkswood
Kidnappers Ridge
Cape Foulwind combined
Maimai combined
Masterton
Motu o Kura combined
Northern Ohariu
Ohariu combined
Opouawe - Uruti
Pa Valley
Paparoa West combined
Papatea
Whareama Bank
Aotea - Evans Bay
Lake Heron
Akatore
Green Island
Hauroko North
Hundalee
Monowai
Waimana combined
Pukerua - Shepherds Gully combined
Ruahine - Waiohau combined
Rotoitipakau
Darran
Hollyford
Fisherman combined
Honeycomb
Kaumingi
Kaweka
Marlborough Slope 2
Otaheke combined
Poulter
Saunders Road
Tukituki Thrust
Upper Slope
Uruti East - PorWest 1
Uruti North
Waimarama 1 & 2
Waimarama 3 & 4
Ben McLeod
Fox Peak
Hutt Peel
Leonard Mound
Caswell High 10
Caswell High 67
Caswell High 9
Ihaia
Okupe 1
Otaki Forks 1
Otaki Forks 2
Torlesse
Irishman Creek
Madagascar - Barn combined
Mt Culverden
Caswell 211
Caswell High 1
Caswell High 3
Caswell High 4
Caswell High 8
Double Hill
Dry River - Huangarua combined
Kaikoura - Mangamaunu
Rangitikei Offshore 1
Kiri
Akatarawa
Hurunui Peak - Mt Arden combined
Starvation - Ashley
Awahokomo
Lees Valley
Esk North
Fern Gully
Knowles Top
Caswell High 5
Dromedary
Dunstan
Fowlers
Hump Ridge
Kotare - Moutuhora
Livingstone
Lyell South
Marlborough Slope 4
Mokonui combined
Mossburn
Motu
Pancake
Pongaroa - Weber
Rangefront - Wakarara combined
Raukumara 16
Raukumara 17
Raukumara 18
Skippers
South Wedge 1
Te Anau
Te Whaiti South
Tin Hut
McKerchar
Tirohanga
Uruti Basin 2
Virginia
Waipukaka
Wairata
Waitawhiti
Waitotara 8 & 9
Wheao combined
White Creek
Lyell
White Creek - buried
Hopkins
Hororata
Kaiwara South
OmihiLwrHuru
Cape Egmont South
Balmoral
Kaiwara North
Central Wedge 1 & 2 & 3
Gimmerburn
Kerepehi Te Poi
Mahia 2
Maunga
Milford Basin 5 to George R2
Nevis
Onepoto
Pahiatua
Parihaka
Turi combined
Tutaki
Doctors
NW Cardrona North
NW Cardrona South
Cape Egmont Central
Fisherman 3
Kongahau
Kahurangi
Kerepehi Waitoa
Kohaihai
Kohaihai South
Leithfield - NCVI - NCVII
Hunter Valley
Motatapu
The Humps
Timaru Creek
Boby Stream
Five Fingers
Hauroko South
Hawke Bay 4
Hawke Bay 5 & 11
Inglewood
Lowry
Marlborough Slope 11
Marlborough Slope 3
Motunau
Mt Stewart
Needles East 2
North Canterbury Shelf 11
Opotiki 2
Opotiki 3
Pohangina
Rauoterangi
Wharanui
Marlborough Slope 9
Mt Lawry
Dalgety
North Mernoo E2-1
Spylaw
Awakeri
Cape Foulwind 4
Conway Trough West
Hohonu South
Hyde North
Leedstown
Mataikona East
Pegasus Bay
Point Gibson
Poroutawhao
Rakaia
Uruti Point
Kerepehi Elstow
Blue Mountain
North Mernoo K2
North Mernoo K3
Waimea combined
Whangamoa
Acton
Bidwill
Big Ben
Cheeseman
Clear Hills - Waikopiro
Greendale
Hawke Bay 8
High Peak - Sheffield
Himatangi
Kowai - View Hill
Levin Anticline
London Hill
Long Valley
Moonshine
Hawkdun
Omarama Saddle
Otaraia
Ridge Road - Okaia 2
Ruataniwha
Surville - Ruby Bay - Moutere combined
Taonui
Tauru
Te Heka
Tokomaru
Wakamarama combined
White Hill
Woodville
Moumahaki - Okaia 4
Leader combined
Cape Egmont North
Opape 1
Pihama
Waitangi
Te Puninga
Waitotara 10 & 11
Alexander
Esk South
Kerepehi Awaiti
Kirkliston
North Branch
Redcliffe
Springbank
StoneJug
Titri combined
Titri South
Kerepehi Okoroire
North Canterbury Shelf 2
Raggedy - Blackstone
Albury
Hunters
Hyde South - The Twins
Oaonui
Rahotu
Waikuku
Klondyke Moor
Waihemo
Awamoa
CenPeg1n2
Cluden
Farewell
Galloway
Grandview
Kerepehi Offshore
Kereu
Mangatangi
Martinborough
Mascarin
Norfolk
North Canterbury Shelf 4
Pisa
Pokeno
Ranfurly
Raukumara 20
Raukumara 24
Raukumara 9
Repongaere
Solander
Spey - Mica Burn
Waipiata
Warea
Whitemans Valley
Clifton
Manahi 2
Otanomomo
Wairoa North
Settlement
Blue Lake
Brothers
Maungati
Nukumuru - Waitotara 1-6
Rapuwai
Sailor
Sugarloaf
Opawa
Backbone
Barrier Range
Beacon Hill
Beaumont River
Billys Ridge
Black Hill
Dryburgh
Campbell Hills
Catherine
Chamberlain
Cross Eden
Dingle
Dunback Hill
Edith
Falstone
Flat Stream - Glenpark
Garibaldi
Garvie
Gibson
Goodger
Grampian
Hariki
Hawke Bay 1
Hokonui - Hillfoot combined
Waikaia
Hedgehope
Horse Flat
Huxley
Kaikorai
Lake Onslow
Lindis River
Little Hillfoot
Little Valley
Logan Burn
Maungatua - North Taieri
Mid Dome
Middle Range
Moonlight North
Moonlight South
Mt Sutton
Murphys Creek
Nichols Rock
Ohae 1
Ohae 2
Ohae 3
Okaia 3
Paddys Ridge
Pylap
Roaring Lion
Roaring Meg
Sliver Stream - Merton
Waikaka
Waimate
Waitahuna 1
Waitahuna 2
Waitaki
Wanaka
Cardrona - Hawea
Wendon Valley
Glenbrook
Tuapeka
Waverley - Okaia 1
Manahi 1
Motu River
Okaia 5
Pukekohe
Raukumara 21
Raukumara 25
Stonewall
Aka Aka
Ararata
Kututaruhe
Te Tatua o Wairere
Teviot
West Wakatipu
Old Man
Drury
St Stephens
Takapu
